state,region
Alabama,Southeast
Arizona,Southwest
Arkansas,Southeast
California,Pacific Southwest
Colorado,Mountain-Prarie
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Florida,Southeast
Georgia,Southeast
Idaho,Pacific
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Mountain-Prarie
Kentucky,Southeast
Louisiana,Southeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,Southeast
Missouri,Midwest
Montana,Mountain-Prarie
Nebraska,Mountain-Prarie
Nevada,Pacific Southwest
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,Southwest
New York,Northeast
North Carolina,Southeast
North Dakota,Mountain-Prarie
Ohio,Midwest
Oklahoma,Southwest
Oregon,Pacific
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,Southeast
South Dakota,Mountain-Prarie
Tennessee,Southeast
Texas,Southwest
Utah,Mountain-Prarie
Vermont,Northeast
Virginia,Northeast
Washington,Pacific
West Virginia,Northeast
Wisconsin,Midwest
Wyoming,Mountain-Prarie
