code,scientific,common
ACHLYC,Achalarus lyciades,Hoary Edge
ADEBRE,Adelpha bredowii,Bredow's Sister
ADEBRE,Adelpha bredowii californica,Bredow's Sister
AGRAVAN,Agraulis vanillae,Gulf Fritillary
AGRGLA,Agriades glandon,Arctic Blue
AGRGLA,Plebejus glandon,Arctic Blue
AGRGLA,Agriades glandon podarce,Arctic Blue
AGRGLA,Agriades glandon franklinii,Arctic Blue
AGRGLA,Agriades glandon glandon,Arctic Blue
AGRGLA,Agriades podarce,Arctic Blue
AMBAES,Amblyscirtes aesculapius,Lace-wing Roadside-skipper
AMBHEG,Atrytonopsis hegon,Pepper and Salt Skipper
AMBHEG,Amblyscirtes hegon,Pepper and Salt Skipper
AMBVIA,Atrytonopsis vialis,Common Roadside Skipper
AMBVIA,Amblyscirtes vialis,Common Roadside Skipper
ANAAND,Anaea andria,Goatweed Leafwing
ANARJAT,Anartia jatrophae,White Peacock
ANATLOG,Atrytone logan,Delaware Skipper
ANATLOG,Anatrytone logan,Delaware Skipper
ANCNUM,Ancyloxypha numitor,Least Skipper
ANCNUM,Ancycloxypha numitor,Least Skipper
ANTHLAN,Anthocharis lanceolata,Gray Marble
ANTHSAR,Anthocharis thoosa,Pacific Orangetip
ANTHSAR,Anthocharis sara thoosa,Pacific Orangetip
ANTHSAR,Anthocharis sara stella,Pacific Orangetip
ANTHSAR,Anthocharis sara (includes thoosa and julia),Pacific Orangetip
ANTHSAR,Anthocharis sara sara,Pacific Orangetip
ANTHSAR,Anthocharis julia,Pacific Orangetip
ANTHSAR,Anthocharis sara,Pacific Orangetip
APOMOR,Apodemia mormo,Mormon Metalmark
APOMOR,Apodemia mormo duryi,Mormon Metalmark
APOMOR,Apodemia mormo virgulti,Mormon Metalmark
APOMOR,Aphodemia virgulti,Mormon Metalmark
APOMOR,Apodemia virgulti,Mormon Metalmark
APOMOR,Apodemia mormo mejicanus,Mormon Metalmark
ASCMON,Ascia monuste,Great Southern White
ASTCEL,Asterocampa celtis,Hackberry Emperor
ASTCLY,Asterocampa clyton,Tawny Emperor
ATACAM,Atalopedes campestris,Sachem skipper
ATLHAL,Atlides halesus,Great Purple Hairstreak 
ATRYHIA,Atrytonopsis hianna,Dusted Skipper
ATRYHIA,Atrytonopsis hianna loammi,Dusted Skipper
BATPHI,Battus philenor,Pipevine Swallowtail
BATPOL,Battus polydamas,Polydamas Swallowtail
BFLY,Butterfly,BFLY
BFLY,Butterfly sp.,BFLY
BOLOBEL,Boloria bellona,Meadow Fritillary
BOLOCHA,Boloria chariclea,Arctic Fritillary
BOLOEPI,Boloria epithore,Pacific Fritillary
BOLOSEL,Boloria selene,Silver-bordered Fritillary
BREEXI,Brephidium exile,???
