name,code
Apodemia virgulti,APOMOR
Brephidium exilis,BREISO
Cercyonis sthenele silvestris,CERSTH
Celastrina ladon/neglecta,CELLAD
Colias eurytheme/philodice,COL-SP
Callophrys perplexa,CALLSHE
Abaeis nicippe,EURNIC
Erynnis funeralis/tristis,ERYN-SP
Papilio rumiko,PAPCRE
Colias harfordii,COLALE
Pieris rapae/Pontia protodice,SF-PIER
Aphodemia virgulti,APOMOR
Euphilotes bernardino,EUPBAT
Colias eurytheme/harfordii,HY-COL
Phyciodes pulchella,PHYCAM
Speyeria or Boloria sp.,NYMPH-SP
Plebejus melissa,LYCMEL
Phyciodes cocyta,PHYSEL
Speyeria hesperis,SPEYATL
Lycaeninae sp.,LYCA-SP
Euchloe  sp.,EUCHL-SP
Cupido amyntula,EVEAMY
Euphilotes ancilla,EUPENO
Pieris marginalis,PIENAP
Hesperia colorado,HESCOM
Aglais milberti,NYMMIL
Echinargus isola,HEMISO
Parnassius smintheus,PARNPHO
Callophrys affinis,CALLDUM
Celastrina humulus,TBD
Euphydryas anicia,EUPHCHA
Plebejus lupini texanus,PLELUP
Plebejus glandon,AGRGLA
Oenis sp.,OEN-SP
Anthocharis julia,ANTHSAR
Euchloe lotta,EUCHYA
Anthocharis thoosa,ANTHSAR
Zerene cesonia,COLCES
Danaus plexippus/Liminitis archippus,NYMPH-SP
Celastrina niger,CELNIG
Nymphalis milbertii,NYMMIL
Calephelis muticum,CALMUT
Phyciodes tharos/cocyta,PHY-SP
Chlosyne/Phyciodes sp.,NYMPH-SP
Papilio machaon/zelicaon,PAP-SP
Celastrina echo,CELLAD
Hesperia comma/colorado,HESP-SP
Ocholdes sylvanoides,OCHSYL
Euphydryas colon,EUPHCHA
Pholisora/Erynnis sp.,HESP-SP
Plebejus idas/melissa,PLE-SP
Hesperia colorado idaho,HESCOM
Papilio multicaudatus,PAPMUL
Plebejus idas,LYCIDA
Phyciodes cocyta selenis,PHYSEL
Pontia protodice/occidentalis,PON-SP
Nymphalis l-album,NYMVAU
Argynnini sp.,SPR-SP
Cupido comyntas,EVECOM
Melitaeini sp.,?-SP
Pyrgus communis/albescens,PYR-SP
Pyrisitia lisa,EURLIS
Papilionoidea sp.,PAP-SP
Copaeodes aurantiaca,COPAUR
Hesperia metea??,HESMET
Crescent/Checkerspot Sp.,NYMPH-SP
Chioides albofasciatus,CHICAT
Plebejus anna,TBD
Euphydryas colon/anicia,EUPHIL-SP
Euphydryas/Chlosyne sp.,NYMPH-SP
Heliconinae sp.,HELIC-SP
Atrytone logan,ANATLOG
Satyrium acadicum,SATACA
None Seen This Day,NONE
Euphyes conspicuus,EUPYCON
Unidentified duskywing,?-SP
Nymphalis vau-album,NYMVAU
Unknown voucher,?-SP
Unidentified sulphur,?-SP
Unidentified butterfly,?-SP
Fixsenia favonius,SATFAV
Unidentified skipper,?-SP
Unidentified polygonia,?-SP
Unidentified swallowtail,?-SP
Unidentified dark skipper,?-SP
Unidentified hairstreak,?-SP
Unidentified light skipper,?-SP
Unidentified fritillary,?-SP
Unidentified blue,?-SP
Unidentified vanessa,?-SP
Undentified satyr,?-SP
Unidentified sootywing,?-SP
Libytheana carienta,LIBCAR
Lyceana epixanthe,LYCAEPI
Lyceana hyllus,LYCAHYL
Celastrina serotina,CELLAD
Junonoia coenia,JUNCOE
Euphyes vestra,EUPYVES
Erynnis,ERY-SP
Ancycloxypha numitor,ANCNUM
Atrytonopsis hegon,AMBHEG
Papilio ?,PAP-SP
L. a. arthemis,LIMART
Pterourus appalachiensis,PAPGLA
Pontia protidice,PONPRO
Atrytonopsis vialis,AMBVIA
Polygonia/Nymphalis spp,POLY-SP
Celastrina,CEL-SP
Blue,POLYO-SP
Satyrodes,SATY-SP
Papilio sp,PAP-SP
Thorybes,THO-SP
Polygonia spp,POLY-SP
Colias,COL-SP
Callophrys,CALL-SP
Anthrocharis midea,ANTHMID
Speyeria,SPEY-SP
Satyrium,SAT-SP
Vanessa Sp,VAN-SP
Boloria,BOLO-SP
Pieris spp,PIER-SP
Plebejus acmon (includes texana and lutzi),PLEACM
Junonia genoveva,JUNGEN
Boloria montinus (distinct from Old World titania),BOLOMON
Megisto cymela (includes viola),MEGICYM
Papilionidae,F-PAPI
Polydryas arachne,POLARA
Anthocharis sara (includes thoosa and julia),ANTHSAR
Junonia genoveva (form nigrosuffusa),JUNGEN
Speyeris aphrodite,SPEYAPH
Pierinae,SF-PIER
Polyommatinae,SF-POLY
Theclinae,SF-THEC
Celastrina nigra (=ebinina),CELNIG
Coliadinae,SF-COLI
Hesperiinae,SF-HESP
Oeneis taygete (distinct from Old World Oeneis bore),OENTAY
Heliconiinae,SF-HELI
Megathymus yuccae (includes coloradensis),MEGYUC
Pyrgus,PYR-SP
Satyrinae,SF-SATY
Pyrginae,SF-PYRG
Nymphalinae,SF-NYMP
