code,genus,species,common.name,code.messy,tax.messy.level
ACHALB,Achalarus,albociliatus,Skinner's Cloudywing,ACH-SP,GENUS
ACHCAS,Achalarus,casica,Desert Cloudywing,ACH-SP,GENUS
ACHJAL,Achalarus,jalapus,Jalapus Cloudywing,ACH-SP,GENUS
ACHLYC,Achalarus,lyciades,Hoary Edge,ACH-SP,GENUS
ACHTOX,Achalarus,toxeus,Coyote Cloudywing,ACH-SP,GENUS
ADEBAS,Adelpha,basiloides,Spot-celled Sister,ADE-SP,GENUS
ADEBRE,Adelpha,bredowii,California Sister,ADE-SP,GENUS
ADEFES,Adelpha,fessonia,Band-celled Sister,ADE-SP,GENUS
AGAALL,Agathymus,alliae,Mojave Giant-Skipper,AGA-SP,GENUS
AGAARY,Agathymus,aryxna,Arizona Giant-Skipper,AGA-SP,GENUS
AGAEVA,Agathymus,evansi,Huachuca Giant-Skipper,AGA-SP,GENUS
AGAMAR,Agathymus,mariae,Mary's Giant-Skipper,AGA-SP,GENUS
AGANEU,Agathymus,neumoegeni,Orange Giant-Skipper,AGA-SP,GENUS
AGAPOL,Agathymus,polingi,Poling's Giant-Skipper,AGA-SP,GENUS
AGAREM,Agathymus,remingtoni,Coahuila Giant-Skipper,AGA-SP,GENUS
AGASTE,Agathymus,stephensi,California Giant-Skipper,AGA-SP,GENUS
AGRCAS,Agriades,cassiope,Heather Blue,AGR-SP,GENUS
AGRGLA,Agriades,glandon,Arctic Blue,AGR-SP,GENUS
AGRGLA,Agriades,glandon,Glandon' Arctic Blue,AGR-SP,GENUS
AGRGLA,Agriades,glandon,Mountain' Arctic Blue,AGR-SP,GENUS
AGRGLA,Agriades,glandon,Sierra' Arctic Blue,AGR-SP,GENUS
AGUASA,Aguna,asander,Gold-spotted Aguna,AGU-SP,GENUS
AGUCLA,Aguna,claxon,Emerald Aguna,AGU-SP,GENUS
AGUMET,Aguna,metophis,Tailed Aguna,AGU-SP,GENUS
AMBAEN,Amblyscirtes,aenus,Bronze Roadside-Skipper,AMB-SP,GENUS
AMBAES,Amblyscirtes,aesculapius,Lace-winged Roadside-Skipper,AMB-SP,GENUS
AMBALT,Amblyscirtes,alternata,Dusky Roadside-Skipper,AMB-SP,GENUS
AMBBEL,Amblyscirtes,belli,Bell's Roadside-Skipper,AMB-SP,GENUS
AMBCAR,Amblyscirtes,carolina,Carolina Roadside-Skipper,AMB-SP,GENUS
AMBCAS,Amblyscirtes,cassus,Cassus Roadside-Skipper,AMB-SP,GENUS
AMBCEL,Amblyscirtes,celia,Celia's Roadside-Skipper,AMB-SP,GENUS
AMBELI,Amblyscirtes,elissa,Elissa Roadside-Skipper,AMB-SP,GENUS
AMBEOS,Amblyscirtes,eos,Dotted Roadside-Skipper,AMB-SP,GENUS
AMBEXO,Amblyscirtes,exoteria,Large Roadside-Skipper,AMB-SP,GENUS
AMBFIM,Amblyscirtes,fimbriata,Orange-edged Roadside-Skipper,AMB-SP,GENUS
AMBHEG,Amblyscirtes,hegon,Pepper and Salt Skipper,AMB-SP,GENUS
AMBLIN,Amblyscirtes,linda,Linda's Roadside-Skipper,AMB-SP,GENUS
AMBNER,Amblyscirtes,nereus,Slaty Roadside-Skipper,AMB-SP,GENUS
AMBNYS,Amblyscirtes,nysa,Nysa Roadside-Skipper,AMB-SP,GENUS
AMBOSL,Amblyscirtes,oslari,Oslar's Roadside-Skipper,AMB-SP,GENUS
AMBPHY,Amblyscirtes,phylace,Orange-headed Roadside-Skipper,AMB-SP,GENUS
AMBREV,Amblyscirtes,reversa,Reversed Roadside-Skipper,AMB-SP,GENUS
AMBSIM,Amblyscirtes,simius,Simius Roadside-Skipper,AMB-SP,GENUS
AMBTEX,Amblyscirtes,texanae,Texas Roadside-Skipper,AMB-SP,GENUS
AMBTOL,Amblyscirtes,tolteca,Toltec Roadside-Skipper,AMB-SP,GENUS
AMBTOL,Amblyscirtes,tolteca,Prenda' Toltec Roadside-Skipper,AMB-SP,GENUS
AMBVIA,Amblyscirtes,vialis,Common Roadside-Skipper,AMB-SP,GENUS
ANAAID,Anaea,aidea,Tropical Leafwing,ANA-SP,GENUS
ANAAND,Anaea,andria,Goatweed Leafwing,ANA-SP,GENUS
ANAFLO,Anaea,floridalis,Florida Leafwing,ANA-SP,GENUS
ANAGLY,Anaea,glycerium,Angled Leafwing,ANA-SP,GENUS
ANAPIT,Anaea,pithyusa,Pale-spotted Leafwing,ANA-SP,GENUS
ANARCHR,Anartia,chrysopelea,Cuban Peacock,ANAR-SP,GENUS
ANARFAT,Anartia,fatima,Banded Peacock,ANAR-SP,GENUS
ANARJAT,Anartia,jatrophae,White Peacock,ANAR-SP,GENUS
ANATLOG,Anatrytone,logan,Delaware Skipper,ANAT-SP,GENUS
ANATMAZ,Anatrytone,mazai,Glowing Skipper,ANAT-SP,GENUS
ANCARE,Ancyloxypha,arene,Tropical Least Skipper,ANC-SP,GENUS
