code,abund.correlation,species.trend,nfjonly.abund.correlation,nfjonly.species.trend,error,abserror,common,sci.name
HESMET,0.0042,-0.127022229842916,0.0084,0.123053715837709,0.25007594568062497,0.25007594568062497,NA,Hesperia metea?? | Hesperia metea
OENCHR,0.7079,0.210632384823462,0.7421,-0.0089232290746883,-0.2195556138981503,0.2195556138981503,Chryxus Arctic,Oeneis chryxus | Oeneis chryxus chryxus | Oeneis chryxus ivallda
BOLOSEL,-0.0232,0.170995950608714,0.4081,-0.00517417370278293,-0.17617012431149692,0.17617012431149692,Silver-bordered Fritillary,Boloria selene
PIEVIR,0.8693,0.0327503818470075,0.2946,0.201200090875497,0.1684497090284895,0.1684497090284895,NA,Pieris virginiensis
BOLOCHA,NA,-0.0422370709726646,NA,0.101289325078967,0.1435263960516316,0.1435263960516316,Arctic Fritillary,Boloria chariclea
HESLEO,0.3777,-0.0143945203791549,0.2368,0.12504457809390301,0.1394390984730579,0.1394390984730579,Leonard's Skipper,Hesperia leonardus
ERYBRI,0.0303,-0.0381822993286083,0.847,0.0930447957792012,0.1312270951078095,0.1312270951078095,Sleepy Duskywing,Erynnis brizo | Erynnis brizo lacustra
ANTHMID,0.3524,-7.7850413512748e-4,0.1519,0.124700702953475,0.1254792070886025,0.1254792070886025,NA,Anthrocharis midea | Anthocharis midea
LYCAHEL,-0.0142,-0.124084631696662,-0.0154,-0.00233573373820424,0.12174889795845777,0.12174889795845777,Purplish Copper,Lycaena helloides
EUCOLY,0.1506,0.00693145433474912,0.3104,0.112292971831682,0.10536151749693289,0.10536151749693289,NA,Euchloe olympia
CALLIRU,0.717,-0.0077759359139492,0.8086,0.0767298650474689,0.0845058009614181,0.0845058009614181,Frosted Elfin,Callophrys irus
CALLSHE,0.7301,-0.107719966871159,0.6369,-0.0245973154926451,0.0831226513785139,0.0831226513785139,Sheridan's Green Hairstreak,Callophrys perplexa | Callophrys sheridanii | Callophrys sheridanii sheridanii | Callophrys sheridanii comstocki | Callophrys sheridanii lemberti
AMBHEG,0.2957,-0.0308260049134281,0.3674,0.052185006316167,0.0830110112295951,0.0830110112295951,Pepper and Salt Skipper,Atrytonopsis hegon | Amblyscirtes hegon
SPEYAPH,-0.0061,-0.097720023457591,0.1702,-0.0194722995246356,0.0782477239329554,0.0782477239329554,Aphrodite Fritillary,Speyeris aphrodite | Speyeria aphrodite
LYCAARO,0.0078,0.00527587729696914,0.7859,-0.0716443220585912,-0.07692019935556034,0.07692019935556034,Tailed Copper,Lycaena arota | Lycaena arota arota | Lycaena arota virginiensis
CHLOLEA,0.0507,-0.0363242384049958,0.9954,0.0383666237158961,0.0746908621208919,0.0746908621208919,Leanira Checkerspot,Thessalia leanira | Chlosyne leanira
POAMAS,0.0862,-0.0747205863211902,0.456,-0.00201486710961904,0.07270571921157117,0.07270571921157117,Mulberry Wing,Poanes massasoit
EUCAUS,-0.0356,-0.0922239322469676,0.0788,-0.0228967160922354,0.0693272161547322,0.0693272161547322,Large Marble,Euchloe ausonides
ERYJUV,-0.0196,-0.00619031731618608,0.0893,0.0616400727712365,0.06783039008742259,0.06783039008742259,Juvenal's Duskywing,Erynnis juvenalis | Erynnis juvenalis clitus
ATRYHIA,-0.0063,0.0394585629924239,0.4244,0.104030110578622,0.0645715475861981,0.0645715475861981,Dusted Skipper,Atrytonopsis hianna | Atrytonopsis hianna loammi
EUPYDIO,0.1228,-0.0320629651843973,0.2883,0.0313231440010528,0.0633861091854501,0.0633861091854501,Dion Skipper,Euphyes dion
EUPYDUK,0.1471,0.119541235333132,0.6638,0.0581617964168805,-0.06137943891625151,0.06137943891625151,NA,Euphyes dukesi
POLISAB,0.0886,-0.122753850480531,0.0442,-0.0616569358628263,0.0610969146177047,0.0610969146177047,Sandhill Skipper,Polites sabuleti | Polites sabuleti sabuleti | Polites sabuleti ssp. | Polites sabuleti tecumseh
EUPHPHA,0.2199,-0.0597261069407122,0.2065,0.0012877420687208,0.061013849009433,0.061013849009433,Baltimore Checkerspot,Euphydryas phaeton
LYCAHYL,0.3337,-0.0672488977037309,0.3657,-0.00840959703712027,0.058839300666610625,0.058839300666610625,Bronze Copper,Lyceana hyllus | Lycaena hyllus
CALLNIP,0.2017,0.0729091817219996,0.197,0.131599931376834,0.05869074965483441,0.05869074965483441,Eastern Pine Elfin,Callophrys niphon
CALLMOS,0.9862,0.0608758497760751,0.9964,0.00405734862015117,-0.056818501155923934,0.056818501155923934,Moss' Elfin,Callophrys mossii | Incisalia mossii
LYCAHET,0.0307,0.0277143624999814,0.0805,-0.0273450320152793,-0.0550593945152607,0.0550593945152607,Blue Copper,Lycaena heteronea
BATPHI,0.4426,-0.0364659986757031,0.5666,0.0176232694480665,0.0540892681237696,0.0540892681237696,Pipevine Swallowtail,Battus philenor
ERYTRI,0.5864,0.0635720956938715,0.6349,0.00987792884323702,-0.05369416685063448,0.05369416685063448,Mournful Duskywing,Erynnis tristis
POATAX,0.8914,0.0602546366333217,0.6974,0.00740065754851929,-0.05285397908480241,0.05285397908480241,Taxiles Skipper,Poanes taxiles
LYCARUB,0.5883,-0.0203416808215722,0.7572,-0.0726231283551208,-0.0522814475335486,0.0522814475335486,Ruddy Copper,Lycaena rubidus | Lycaena rubidus ferrisi
EUPHCHA,-0.0018,-0.0533456486626809,-0.0189,-0.00172718219837507,0.05161846646430583,0.05161846646430583,Anicia/Colon/Chalcedon Checkerspot,Euphydryas anicia | Euphydryas colon | Euphydryas chalcedona | Euphydryas chalcedona chalcedona | Euphydryas chalcedona colon | Euphydryas chalcedona anicia
SATYEUR,0.184,-0.0779664901745025,0.608,-0.0287019528023852,0.04926453737211729,0.04926453737211729,Eyed Brown,Satyrodes eurydice
GLALYG,0.0112,-0.0333441911842424,0.0647,0.015838261287307,0.0491824524715494,0.0491824524715494,Silvery Blue,Glaucopsyche lygdamus | Glaucopsyche lygdamus palosverdesensis
ANTHSAR,-0.0373,-0.032899961530836,0.0993,0.0148107868210155,0.0477107483518515,0.0477107483518515,Pacific Orangetip,Anthocharis julia | Anthocharis thoosa | Anthocharis sara (includes thoosa and julia) | Anthocharis sara | Anthocharis sara sara | Anthocharis sara stella | Anthocharis sara thoosa
PAPCAN,0.2109,0.0259104886356365,0.566,0.0726383897323468,0.04672790109671031,0.04672790109671031,Canadian Tiger Swallowtail,Papilio canadensis
EUPYCON,0.1638,-0.0711474107705552,0.7537,-0.0248262403415032,0.046321170429052,0.046321170429052,Black Dash,Euphyes conspicuus | Euphyes conspicua
PHYCAM,0.5292,-0.0700523672315723,0.6812,-0.0248390879436924,0.045213279287879896,0.045213279287879896,Field Crescent,Phyciodes pulchella | Phyciodes campestris | Phyciodes campestris campestris | Phyciodes campestris campestris/montana | Phyciodes campestris inornatus | Phyciodes campestris montana
CERPEG,0.1242,-0.0651074399040128,0.2717,-0.0204222668921489,0.044685173011863893,0.044685173011863893,Common Wood-Nymph,Cercyonis pegala | Cercyonis pegala boopis
POAMEL,0.7751,0.0648212858635555,0.8344,0.0206705101699086,-0.04415077569364689,0.04415077569364689,Umber Skipper,Poanes melane
COLCES,0.6143,-0.0271343962537114,0.5455,0.0167153994449546,0.043849795698666,0.043849795698666,Southern Dogface,Zerene cesonia | Colias cesonia
