Fit on: 2023-02-17 02:01:43

Parameters:
==================
form.use:
  count ~ te(lat, lon, by = year, k = c(5, 5), bs = c("cr", "cr")) + effort.universal:effort.universal.type + sourcefac + s(site.refac, bs = "re")

use.inferred:
  TRUE

geography.constrain:
  FALSE

use.only.source:
  



Correlation summaries:
==================
code	abund.correlation
ACHLYC	0.4824
ADEBRE	0.2114
AGRAVAN	0.0099
AGRGLA	0.5087
AMBHEG	0.2371
AMBVIA	0.3517
ANAAND	0.4413
ANATLOG	0.3601
ANCNUM	0.3399
ANTHLAN	0.9426
ANTHMID	0.3345
ANTHSAR	-0.0377
APOMOR	0.8449
ASTCEL	0.3086
ASTCLY	0.54
ATACAM	0.2698
ATLHAL	0.4649
ATRARO	0.1045
ATRYHIA	-0.0055
AUTCEL	0.1373
BATPHI	0.4424
BOLOBEL	0.0268
BOLOCHA	NA
BOLOEPI	0.0405
BOLOSEL	-0.0311
BREEXI	-0.0469
BREISO	0.9965
CALBOR	0.1678
CALLAUG	0.1622
CALLERY	-0.0164
CALLGRY	0.5484
CALLHEN	0.5852
CALLIRU	0.7212
CALLMOS	0.9898
CALLNIP	0.1536
CALLSHE	0.8126
CALLSPI	-0.0286
CALNEM	0.9559
CALYCEC	0.3178
CARTPAL	0.3492
CELLAD	0.4078
CELNEG	0.4006
CEROET	-0.0452
CERPEG	0.1596
CERSTH	0.011
CHLOGOR	0.3646
CHLOHAR	0.384
CHLOHOF	0.9963
CHLOLAC	0.7572
CHLOLEA	0.0507
CHLONYC	0.3192
COETUL	0.0361
COLALE	0.5043
COLCES	0.622
COLEU1	0.9959
COLEU2	0.3442
COLINT	0.8837
COLOCC	0.9364
COLPHI	0.1099
COPAUR	0.9465
CYLGEM	0.2961
DANGIL	0.8736
DANPLE	0.2579
DYMDYM	-0.0638
ENOANT	0.3554
ENOCRE	0.7223
ENOPOR	0.8355
EPACLA	0.4404
EREEPI	0.199
ERYBAP	0.4552
ERYBRI	0.0332
ERYFUN	0.4837
ERYHOR	0.4176
ERYICE	0.2824
ERYJUV	0.0044
ERYMAR	0.2081
ERYPAC	0.3427
ERYPER	6e-4
ERYPRO	-0.0824
ERYTRI	0.5665
EUCAUS	-0.0354
EUCHYA	0.5086
EUCOLY	0.1517
EUPBAT	0.0621
EUPENO	0.0254
EUPHCHA	-0.0031
EUPHEDI	0.3393
EUPHPHA	0.1596
EUPTCLA	0.4397
EUPYCON	0.4892
EUPYDIO	0.1282
EUPYDUK	0.2176
EUPYVES	0.5338
EURLIS	0.0262
EURMEX	0.7215
EURNIC	0.5258
EURYMAR	0.2572
EVEAMY	-0.0097
EVECOM	0.4269
FENTAR	0.3921
GLALYG	0.0034
GLAPIA	0.5032
HABGRU	0.1144
HELIERI	0.993
HEMCER	0.4648
HEMISO	0.7379
HERSOS	0.5482
HESCOM	0.0913
HESJUB	0.3624
HESLEO	0.2087
HESLIN	0.994
HESMET	0.0254
HESNEV	0.0653
HESOTT	0.2116
HESPAH	0.8964
HESSAS	0.3299
HESVIR	0.8363
