"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename"
"ACHLYC",0.4943,-0.0349425200322222,-0.0344682514977774,-0.0350851045615581,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ACHLYC-full-run-only-NFJ-V1.html"
"ADEBRE",0.534,3.77834019467546e-05,0.000843824698423893,-0.000212146357365555,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ADEBRE-full-run-only-NFJ-V1.html"
"AGRAVAN",0.1897,0.0146541090050091,0.0152748517852525,0.0152748517852525,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AGRAVAN-full-run-only-NFJ-V1.html"
"AGRGLA",0.2793,-0.023606941492153,-0.022918151993809,-0.0238514887549095,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AGRGLA-full-run-only-NFJ-V1.html"
"AMBHEG",0.3167,0.0388958801524115,0.0398579577265067,0.0391120112687088,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AMBHEG-full-run-only-NFJ-V1.html"
"AMBVIA",0.499,-0.00543739780663854,-0.00448540911125693,-0.00775209856771322,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AMBVIA-full-run-only-NFJ-V1.html"
"ANAAND",0.4959,-0.00290676693944537,-0.00150594957120488,-0.00284131276567965,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANAAND-full-run-only-NFJ-V1.html"
"ANATLOG",0.4729,-0.00423426433430666,-0.00360919587074406,-0.00437760411895731,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANATLOG-full-run-only-NFJ-V1.html"
"ANCNUM",0.4421,-0.00724086776361323,-0.00605925967360057,-0.00660464229247601,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANCNUM-full-run-only-NFJ-V1.html"
"ANTHLAN",0.9649,0.00124389855399088,0.00168901142065298,0.000470782898243233,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHLAN-full-run-only-NFJ-V1.html"
"ANTHMID",0.1519,0.124700702953475,0.125658715357008,0.124542856779181,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHMID-full-run-only-NFJ-V1.html"
"ANTHSAR",0.0299,0.0175527379243941,0.0186705988321556,0.0175295453082557,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHSAR-full-run-only-NFJ-V1.html"
"APOMOR",0.8627,-0.0108439175219959,-0.0103033950831744,-0.0103628658229709,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/APOMOR-full-run-only-NFJ-V1.html"
"ASTCEL",0.0953,0.0101824921738314,0.0106564839008579,0.00909009380487409,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ASTCEL-full-run-only-NFJ-V1.html"
"ASTCLY",0.0862,0.00125988122692087,0.00237112459771764,0.000738350332836735,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ASTCLY-full-run-only-NFJ-V1.html"
"ATACAM",0.5164,-0.0179017552210835,-0.0171617617792579,-0.0176978906304347,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATACAM-full-run-only-NFJ-V1.html"
"ATLHAL",0.4986,-0.0039410963033562,-0.00312196789629319,-0.00568166121907829,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATLHAL-full-run-only-NFJ-V1.html"
