"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data"
"ACHLYC",0.9192,-0.0457071581860043,-0.0451955827346207,-0.0460694856219168,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ACHLYC-full-run-all-sources-V1.html",70780
"ADEBRE",0.9591,-0.010345530817903,-0.00931715886247719,-0.0108901851907388,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ADEBRE-full-run-all-sources-V1.html",12314
"AGRAVAN",0.9326,0.0614050903400901,0.0618808895197722,0.0617441331352645,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/AGRAVAN-full-run-all-sources-V1.html",12700
"AGRGLA",0.9779,-0.0141955927354415,-0.013524882040838,-0.0140298741840868,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/AGRGLA-full-run-all-sources-V1.html",8577
"AMBHEG",0.8154,0.0069450002458478,0.00797611780091323,0.00486613506395329,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/AMBHEG-full-run-all-sources-V1.html",71173
"AMBVIA",0.9071,-0.0457942618780273,-0.0450065273542322,-0.0461638162818453,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/AMBVIA-full-run-all-sources-V1.html",84578
"ANAAND",0.8838,-0.0103636167090408,-0.0097915180866206,-0.0101731806672965,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANAAND-full-run-all-sources-V1.html",16154
"ANATLOG",0.9355,-0.0205020153988271,-0.0199454550198319,-0.0199964549737392,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANATLOG-full-run-all-sources-V1.html",79179
"ANCNUM",0.55,0.0140813828898698,0.0146620310990695,0.0142584262436292,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANCNUM-full-run-all-sources-V1.html",77677
"ANTHLAN",0.9852,-0.0108499775922409,-0.0106270940578135,-0.0180086889224631,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANTHLAN-full-run-all-sources-V1.html",6031
"ANTHMID",0.6617,-0.0283063145164571,-0.0277463349329763,-0.0279718564191732,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANTHMID-full-run-all-sources-V1.html",32086
"ANTHSAR",0.9365,-0.0153486520680395,-0.0148796900556865,-0.0157023805899789,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ANTHSAR-full-run-all-sources-V1.html",15438
"APOMOR",0.93,0.00617775344762534,0.00662725932395891,0.00633477714680789,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/APOMOR-full-run-all-sources-V1.html",13238
"ASTCEL",0.7588,-0.0287094409807231,-0.0280124386323295,-0.0286095644777823,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ASTCEL-full-run-all-sources-V1.html",18995
"ASTCLY",0.9864,-0.0208641631896031,-0.019737860448108,-0.0210558397812836,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ASTCLY-full-run-all-sources-V1.html",74774
"ATACAM",0.7998,-0.00136787324858832,-0.000603813273937881,-0.000969870438351226,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ATACAM-full-run-all-sources-V1.html",80093
"ATLHAL",0.6188,-0.00195214270136714,-0.000797130882915553,-0.00348687050772654,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ATLHAL-full-run-all-sources-V1.html",14349
"ATRARO",0.9358,-0.0608537456956375,-0.0602488891131374,-0.0607943789022091,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ATRARO-full-run-all-sources-V1.html",17743
"ATRYHIA",0.9677,-0.0123143708322567,-0.0117934525300392,-0.0123700707283979,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/ATRYHIA-full-run-all-sources-V1.html",77873
"AUTCEL",0.9825,0.0278367068169771,0.0289009728981859,0.0275087613504245,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/AUTCEL-full-run-all-sources-V1.html",5209
"BATPHI",0.8891,NA,0.00674182144000923,0.00579049445528768,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BATPHI-full-run-all-sources-V1.html",78596
"BOLOBEL",0.792,-0.0293506752640453,-0.0276321150570595,-0.029549145564088,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BOLOBEL-full-run-all-sources-V1.html",74906
"BOLOCHA",NA,NA,-8.07292019066404,-8.26385907465409,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BOLOCHA-full-run-all-sources-V1.html",7368
"BOLOEPI",0.9719,0.00484045568410217,0.00583906178139237,0.00513994160115548,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BOLOEPI-full-run-all-sources-V1.html",5169
"BOLOSEL",0.9027,-0.0249385250287893,-0.0240188504536292,-0.0266900218334679,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BOLOSEL-full-run-all-sources-V1.html",76631
"BREEXI",0.7365,-0.0437129351403352,-0.0417053258931048,-0.0434599175202909,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BREEXI-full-run-all-sources-V1.html",11376
"BREISO",0.9878,-0.0121598374411944,-0.0114474420206179,-0.0137762665576912,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/BREISO-full-run-all-sources-V1.html",2729
"CALBOR",0.3387,0.0324290111628285,0.0330789171790733,0.0316965596152222,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALBOR-full-run-all-sources-V1.html",33133
"CALLAUG",0.358,-0.0049352039698117,-0.00412394688314342,-0.00469383219995934,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLAUG-full-run-all-sources-V1.html",84795
"CALLDUM",0.9577,0.0181370898739857,0.0198230995218642,0.0160979374961208,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLDUM-full-run-all-sources-V1.html",13028
"CALLERY",0.9011,0.00571884549730874,0.00618781526107304,0.00536902101760864,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLERY-full-run-all-sources-V1.html",19222
"CALLGRY",0.9773,-0.00561654155115619,-0.00424450198032922,-0.00521647737578204,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLGRY-full-run-all-sources-V1.html",90625
"CALLHEN",0.5678,0.0388324407173701,0.0392717886937728,0.0387835993065479,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLHEN-full-run-all-sources-V1.html",74851
"CALLIRU",0.8632,-0.063238438236938,-0.0622261975030484,-0.0624810632808723,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLIRU-full-run-all-sources-V1.html",70027
"CALLMOS",0.9879,0.0671458672834418,0.068014844233204,0.06629604114968,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLMOS-full-run-all-sources-V1.html",13529
"CALLPOL",0.972,0.115131054731928,0.115739154058713,0.114824120500435,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLPOL-full-run-all-sources-V1.html",41368
"CALLSHE",0.7674,-0.0564046650718749,-0.0556482667438001,-0.0560372095286186,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLSHE-full-run-all-sources-V1.html",14347
"CALLSPI",0.7044,0.00141077571082923,0.00206221977077969,0.00094033889068541,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALLSPI-full-run-all-sources-V1.html",15025
"CALNEM",0.9596,0.0479168089032386,0.0488322455677117,0.0477740931319608,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALNEM-full-run-all-sources-V1.html",2771
"CALYCEC",0.8608,0.00518901646448015,0.00630231291484185,0.00590085358265055,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CALYCEC-full-run-all-sources-V1.html",34899
"CARTPAL",0.3306,-0.0313141965680659,-0.0297706311427319,-0.033469713001326,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/CARTPAL-full-run-all-sources-V1.html",62032
