Fit on: 2023-02-24 04:55:35

Parameters:
==================
form.use:
  count ~ te(lat, lon, by = year, k = c(5, 5), bs = c("cr", "cr")) + effort.universal:effort.universal.type + sourcefac + s(site.refac, bs = "re")

use.inferred:
  TRUE

geography.constrain:
  FALSE

use.only.source:
  



Correlation summaries:
==================
code	abund.correlation
ACHLYC	0.9192
ADEBRE	0.9591
AGRAVAN	0.9326
AGRGLA	0.9779
AMBHEG	0.8154
AMBVIA	0.9071
ANAAND	0.8838
ANATLOG	0.9355
ANCNUM	0.55
ANTHLAN	0.9852
ANTHMID	0.6617
ANTHSAR	0.9365
APOMOR	0.93
ASTCEL	0.7588
ASTCLY	0.9864
ATACAM	0.7998
ATLHAL	0.6188
ATRARO	0.9358
ATRYHIA	0.9677
AUTCEL	0.9825
BATPHI	0.8891
BOLOBEL	0.792
BOLOCHA	NA
BOLOEPI	0.9719
BOLOSEL	0.9027
BREEXI	0.7365
BREISO	0.9878
CALBOR	0.3387
CALLAUG	0.358
CALLDUM	0.9577
CALLERY	0.9011
CALLGRY	0.9773
CALLHEN	0.5678
CALLIRU	0.8632
CALLMOS	0.9879
CALLPOL	0.972
CALLSHE	0.7674
CALLSPI	0.7044
CALNEM	0.9596
CALYCEC	0.8608
CARTPAL	0.3306
CELLAD	0.8228
CELNEG	0.7221
CEROET	0.9615
CERPEG	0.9388
CERSTH	0.2761
CHLOHAR	0.5099
CHLOHOF	0.9955
CHLOLAC	0.9107
CHLOLEA	0.9997
CHLONYC	0.8839
CHLOPAL	0.9938
COETUL	0.9218
COLALE	0.9235
COLCES	0.9237
COLEU1	0.9982
COLEU2	0.8225
COLINT	0.9695
COLOCC	0.973
COLPHI	0.9302
COPAUR	0.9643
CYLGEM	0.79
DANGIL	0.9004
DANPLE	0.8009
DYMDYM	0.5572
ENOANT	0.8596
ENOCRE	0.9082
ENOPOR	0.1976
EPACLA	0.8804
EREEPI	0.905
ERYBAP	0.7787
ERYBRI	0.823
ERYFUN	0.3476
ERYHOR	0.9078
ERYICE	0.8273
