"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data","zeroes.missed.messy"
"ACHLYC",0.9193,-0.0457071581860043,-0.0451955827346207,-0.0460694856219168,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ACHLYC-full-run-all-sources-V2.html",70780,421
"ADEBRE",0.9517,-0.010345530817903,-0.00931715886247719,-0.0108901851907388,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ADEBRE-full-run-all-sources-V2.html",12314,0
"AGRAVAN",0.9326,0.0614050903400901,0.0618808895197722,0.0617441331352645,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AGRAVAN-full-run-all-sources-V2.html",12700,64
"AGRGLA",0.978,-0.0141955927354415,-0.013524882040838,-0.0140298741840868,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AGRGLA-full-run-all-sources-V2.html",8577,5083
"AMBHEG",0.8692,0.0069450002458478,0.00797611780091323,0.00486613506395329,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AMBHEG-full-run-all-sources-V2.html",71173,2235
"AMBVIA",0.9071,-0.0457942618780273,-0.0450065273542322,-0.0461638162818453,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AMBVIA-full-run-all-sources-V2.html",84578,2189
"ANAAND",0.8843,-0.0103636167090408,-0.0097915180866206,-0.0101731806672965,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANAAND-full-run-all-sources-V2.html",16154,10
"ANATLOG",0.937,-0.0205020153988271,-0.0199454550198319,-0.0199964549737392,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANATLOG-full-run-all-sources-V2.html",79179,1808
"ANCNUM",0.5595,0.0140813828898698,0.0146620310990695,0.0142584262436292,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANCNUM-full-run-all-sources-V2.html",77677,1598
"ANTHLAN",0.9853,-0.0108499775922409,-0.0106270940578135,-0.0180086889224631,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANTHLAN-full-run-all-sources-V2.html",6031,3951
"ANTHMID",0.6715,-0.0283063145164571,-0.0277463349329763,-0.0279718564191732,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANTHMID-full-run-all-sources-V2.html",32086,3960
"ANTHSAR",0.9336,-0.0153486520680395,-0.0148796900556865,-0.0157023805899789,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ANTHSAR-full-run-all-sources-V2.html",15438,3640
"APOMOR",0.9301,0.00617775344762534,0.00662725932395891,0.00633477714680789,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/APOMOR-full-run-all-sources-V2.html",13238,8590
"ASTCEL",0.759,-0.0287094409807231,-0.0280124386323295,-0.0286095644777823,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ASTCEL-full-run-all-sources-V2.html",18995,58
"ASTCLY",0.9864,-0.0208641631896031,-0.019737860448108,-0.0210558397812836,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ASTCLY-full-run-all-sources-V2.html",74774,78
"ATACAM",0.7998,-0.00136787324858832,-0.000603813273937881,-0.000969870438351226,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ATACAM-full-run-all-sources-V2.html",80093,1956
"ATLHAL",0.6188,-0.00195214270136714,-0.000797130882915553,-0.00348687050772654,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ATLHAL-full-run-all-sources-V2.html",14349,648
"ATRARO",0.9358,-0.0608537456956375,-0.0602488891131374,-0.0607943789022091,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ATRARO-full-run-all-sources-V2.html",17743,2180
"ATRYHIA",0.9677,-0.0123143708322567,-0.0117934525300392,-0.0123700707283979,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ATRYHIA-full-run-all-sources-V2.html",77873,2185
"AUTCEL",0.9825,0.0278367068169771,0.0289009728981859,0.0275087613504245,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AUTCEL-full-run-all-sources-V2.html",5209,432
"BATPHI",0.8895,NA,0.00674182144000923,0.00579049445528768,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BATPHI-full-run-all-sources-V2.html",78596,2284
"BOLOBEL",0.792,-0.0293506752640453,-0.0276321150570595,-0.029549145564088,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOBEL-full-run-all-sources-V2.html",74906,619
"BOLOCHA",NA,NA,-8.07292019066404,-8.26385907465409,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOCHA-full-run-all-sources-V2.html",7368,723
"BOLOEPI",0.9719,0.00484045568410217,0.00583906178139237,0.00513994160115548,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOEPI-full-run-all-sources-V2.html",5169,737
