"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data"
"AMBVIA",NA,-0.0559975884901489,-0.0550283839591543,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/AMBVIA-full-run-only-Illinois-BMN-V1.html",29473
"ANATLOG",NA,-0.0199737275499597,-0.0195826379374542,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ANATLOG-full-run-only-Illinois-BMN-V1.html",29522
"ANCNUM",NA,0.0133767460099775,0.0141508798534162,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ANCNUM-full-run-only-Illinois-BMN-V1.html",29662
"ASTCLY",NA,0.0355580568668108,0.0362011256266044,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ASTCLY-full-run-only-Illinois-BMN-V1.html",30096
"ATRYHIA",NA,-0.0370390887283678,-0.0361466989766939,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ATRYHIA-full-run-only-Illinois-BMN-V1.html",29477
"BATPHI",NA,-0.0227640753745184,-0.0219107161337022,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/BATPHI-full-run-only-Illinois-BMN-V1.html",29356
"BOLOBEL",NA,-0.0279962778690055,-0.0269755663366668,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/BOLOBEL-full-run-only-Illinois-BMN-V1.html",30051
"BOLOSEL",NA,NA,-0.00872068823616301,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/BOLOSEL-full-run-only-Illinois-BMN-V1.html",29453
"CELLAD",NA,-0.00154825671269549,-0.00076726705182395,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CELLAD-full-run-only-Illinois-BMN-V1.html",29559
"CERPEG",NA,-0.0866691318712255,-0.0857300465610251,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CERPEG-full-run-only-Illinois-BMN-V1.html",29929
"CHLONYC",NA,0.0304764753556704,0.0311702259313619,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CHLONYC-full-run-only-Illinois-BMN-V1.html",30071
"COLCES",NA,-0.00489851249527164,-0.00403904980418091,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/COLCES-full-run-only-Illinois-BMN-V1.html",13364
"DANPLE",NA,-0.00406209906883432,-0.00354054578022955,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/DANPLE-full-run-only-Illinois-BMN-V1.html",30309
"ENOANT",NA,-0.00624920855022412,-0.00511896781155752,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ENOANT-full-run-only-Illinois-BMN-V1.html",29744
"EPACLA",NA,0.00741471603934059,0.00834990329927177,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EPACLA-full-run-only-Illinois-BMN-V1.html",30025
"ERYBAP",NA,0.0614197384761445,0.0626362358963348,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYBAP-full-run-only-Illinois-BMN-V1.html",29630
"ERYHOR",NA,-0.0341612177701631,-0.0327751188711147,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYHOR-full-run-only-Illinois-BMN-V1.html",29583
"ERYJUV",NA,-0.0488515021563593,-0.0481007344514808,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYJUV-full-run-only-Illinois-BMN-V1.html",29591
"EUPHPHA",NA,-0.0709537797697424,-0.0702031351516439,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPHPHA-full-run-only-Illinois-BMN-V1.html",30108
