"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data"
"ACHLYC",NA,-0.0706237953426934,-0.0696503204851524,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ACHLYC-full-run-only-MASSBfly-V1.html",3613
"AMBHEG",NA,-0.0329060216995974,-0.0321974274253023,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/AMBHEG-full-run-only-MASSBfly-V1.html",3509
"ANATLOG",NA,-0.0540310655651388,-0.0532575261286894,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ANATLOG-full-run-only-MASSBfly-V1.html",3573
"ANCNUM",NA,-0.00354603705682768,-0.00305269570491618,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ANCNUM-full-run-only-MASSBfly-V1.html",3584
"ATACAM",NA,0.197762534455564,0.198217799976931,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ATACAM-full-run-only-MASSBfly-V1.html",3509
"ATRYHIA",NA,-0.0257760119584831,-0.025119100089192,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ATRYHIA-full-run-only-MASSBfly-V1.html",3575
"BOLOBEL",NA,-0.0368797925437158,-0.036499490417647,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/BOLOBEL-full-run-only-MASSBfly-V1.html",3550
"BOLOSEL",NA,-0.00121355932469255,-0.000418104751742088,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/BOLOSEL-full-run-only-MASSBfly-V1.html",3609
"CALLAUG",NA,0.00169726944241237,0.00226280749296892,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLAUG-full-run-only-MASSBfly-V1.html",3612
"CALLGRY",NA,0.0223064421134355,0.0227897180589927,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLGRY-full-run-only-MASSBfly-V1.html",3600
"CALLIRU",NA,-0.0116821638768006,-0.0111799606627452,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLIRU-full-run-only-MASSBfly-V1.html",3610
"CALLNIP",NA,0.0197790065683404,0.0202242848638794,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLNIP-full-run-only-MASSBfly-V1.html",3610
"CELLAD",NA,-0.0264402543829868,-0.0260705882838801,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CELLAD-full-run-only-MASSBfly-V1.html",3570
"CERPEG",NA,-0.0435220847498864,-0.042970841691826,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CERPEG-full-run-only-MASSBfly-V1.html",3614
"CHLOHAR",NA,-0.0935319238478103,-0.0928688293001585,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CHLOHAR-full-run-only-MASSBfly-V1.html",3421
"COETUL",NA,-0.0461038817081134,-0.0458171229867514,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COETUL-full-run-only-MASSBfly-V1.html",3616
"COLEU2",NA,-0.0337888106906272,-0.0333518173422283,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COLEU2-full-run-only-MASSBfly-V1.html",3612
"COLPHI",NA,-0.0345741935655153,-0.0339879727089709,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COLPHI-full-run-only-MASSBfly-V1.html",3620
"DANPLE",NA,0.00351243385957416,0.00412015341333571,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/DANPLE-full-run-only-MASSBfly-V1.html",3637
