"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data","zeroes.missed.messy"
"ACHLYC",NA,-0.0706237953426934,-0.0696503204851524,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/ACHLYC-full-run-only-MASSBfly-V2.html",3613,421
"AMBHEG",NA,-0.0329060216995974,-0.0321974274253023,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/AMBHEG-full-run-only-MASSBfly-V2.html",3509,2235
"ANATLOG",NA,-0.0540310655651388,-0.0532575261286894,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/ANATLOG-full-run-only-MASSBfly-V2.html",3573,1808
"ANCNUM",NA,-0.00354603705682768,-0.00305269570491618,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/ANCNUM-full-run-only-MASSBfly-V2.html",3584,1598
"ATACAM",NA,0.197762534455564,0.198217799976931,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/ATACAM-full-run-only-MASSBfly-V2.html",3509,1956
"ATRYHIA",NA,-0.0257760119584831,-0.025119100089192,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/ATRYHIA-full-run-only-MASSBfly-V2.html",3575,2185
"BOLOBEL",NA,-0.0368797925437158,-0.036499490417647,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/BOLOBEL-full-run-only-MASSBfly-V2.html",3550,619
"BOLOSEL",NA,-0.00121355932469255,-0.000418104751742088,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/BOLOSEL-full-run-only-MASSBfly-V2.html",3609,678
"CALLAUG",NA,0.00169726944241237,0.00226280749296892,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/CALLAUG-full-run-only-MASSBfly-V2.html",3612,681
"CALLGRY",NA,0.0223064421134355,0.0227897180589927,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V2/CALLGRY-full-run-only-MASSBfly-V2.html",3600,682
