"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data","zeroes.missed.messy"
"ACHLYC",0.9297,-0.0438540926536842,-0.0433464557858469,-0.044298519043989,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ACHLYC-full-run-only-NFJ-V2.html",7143,421
"ADEBRE",0.9494,-0.00748654203409831,-0.00663695076032855,-0.00798068258953799,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ADEBRE-full-run-only-NFJ-V2.html",1840,0
"AGRAVAN",0.9652,0.0314288875113862,0.0318878151067818,0.0317327134942096,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AGRAVAN-full-run-only-NFJ-V2.html",5812,64
"AGRGLA",0.9411,-0.0188118178107027,-0.0180346574655466,-0.0188783765870459,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AGRGLA-full-run-only-NFJ-V2.html",929,5083
"AMBHEG",0.8451,0.0335818493786691,0.034907257741871,0.0330883904100043,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AMBHEG-full-run-only-NFJ-V2.html",6165,2235
"AMBVIA",0.8996,-0.0309789341335218,-0.0303414356825299,-0.0314728203209281,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AMBVIA-full-run-only-NFJ-V2.html",8534,2189
"ANAAND",0.8838,-0.0135716308983052,-0.0130000027272898,-0.0132739565148565,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANAAND-full-run-only-NFJ-V2.html",4591,10
"ANATLOG",0.9388,-0.0163320277166675,-0.0157283621977289,-0.0157923425958726,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANATLOG-full-run-only-NFJ-V2.html",9267,1808
"ANCNUM",0.6161,0.00107869289971468,0.00173312729617159,0.00119985926515134,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANCNUM-full-run-only-NFJ-V2.html",9137,1598
"ANTHLAN",0.9887,-0.0186868166497042,-0.0182532927602814,-0.0222549771450201,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHLAN-full-run-only-NFJ-V2.html",780,3951
"ANTHMID",0.4389,0.0824312011410964,0.0829714895286155,0.0826710260716265,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHMID-full-run-only-NFJ-V2.html",5802,3960
"ANTHSAR",0.9586,0.0119326422842204,0.0124171355185202,0.0114947085423866,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHSAR-full-run-only-NFJ-V2.html",1883,3640
"APOMOR",0.9263,-0.0090186285002231,-0.00851815818540458,-0.00896227215659182,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/APOMOR-full-run-only-NFJ-V2.html",1727,8590
"ASTCEL",0.8302,-0.0388567206255012,-0.0381660272056314,-0.0385978107940405,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ASTCEL-full-run-only-NFJ-V2.html",2675,58
"ASTCLY",0.9862,-0.0174314152568258,-0.0163442165174774,-0.0175031496759897,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ASTCLY-full-run-only-NFJ-V2.html",8865,78
"ATACAM",0.7947,-0.0126109867856837,-0.0118796942192301,-0.0123508642125689,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATACAM-full-run-only-NFJ-V2.html",9456,1956
"ATLHAL",0.6931,-0.00599796524366901,-0.00476548839118696,-0.00772068974237303,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATLHAL-full-run-only-NFJ-V2.html",5597,648
"ATRARO",0.9332,-0.0570054073950919,-0.0565118417747901,-0.056843121376324,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATRARO-full-run-only-NFJ-V2.html",4239,2180
"ATRYHIA",0.9581,0.00732358551166877,0.00792073945715899,0.00704232904030889,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATRYHIA-full-run-only-NFJ-V2.html",8090,2185
"AUTCEL",0.9817,0.0265977971470354,0.0276183674944299,0.0263566807066937,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AUTCEL-full-run-only-NFJ-V2.html",2627,432
"BATPHI",0.8917,NA,0.00662261667261088,0.00579776124726206,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BATPHI-full-run-only-NFJ-V2.html",9071,2284
"BOLOBEL",0.8193,-0.0253301168561231,-0.0241273118579599,-0.0252016109795182,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOBEL-full-run-only-NFJ-V2.html",6236,619
"BOLOCHA",NA,0.0351604250071266,0.0358053327726342,0.0348978010112598,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOCHA-full-run-only-NFJ-V2.html",973,723
"BOLOEPI",0.9676,-0.011682500492371,-0.0106465262269078,-0.011444088092407,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOEPI-full-run-only-NFJ-V2.html",964,737
"BOLOSEL",0.9106,-0.0149292610941029,-0.0142770486326587,-0.0215933077120439,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOSEL-full-run-only-NFJ-V2.html",5813,678
"BREEXI",0.7301,-0.0368526706702512,-0.0347256164976537,-0.0369965516466407,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BREEXI-full-run-only-NFJ-V2.html",2516,5122
"BREISO",0.9845,NA,-0.00515423287544436,-0.00941014361870277,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BREISO-full-run-only-NFJ-V2.html",1183,5016
"CALBOR",0.4229,0.0405274272042468,0.0411523670693175,0.0397339955228594,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALBOR-full-run-only-NFJ-V2.html",2844,8693
"CALLAUG",0.4097,0.00829557247916414,0.00918672662215612,0.00860363919312944,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLAUG-full-run-only-NFJ-V2.html",8578,681
"CALLDUM",0.9829,0.00992041947611095,0.0113449340522616,0.00678958900365438,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLDUM-full-run-only-NFJ-V2.html",1500,718
"CALLERY",0.9285,NA,-0.00699078970942396,-0.00812475439421653,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLERY-full-run-only-NFJ-V2.html",2698,695
"CALLGRY",0.983,-0.0164881459317824,-0.0152617989623178,-0.0158292012499165,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLGRY-full-run-only-NFJ-V2.html",10248,682
"CALLHEN",0.6749,0.088497068141547,0.0892049932642038,0.0883411763467076,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLHEN-full-run-only-NFJ-V2.html",8841,719
"CALLIRU",0.9275,0.0477794455813565,0.0484499362680744,0.0483090444389961,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLIRU-full-run-only-NFJ-V2.html",6139,715
"CALLMOS",0.9903,NA,0.0230990228760808,0.0224918164380272,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLMOS-full-run-only-NFJ-V2.html",1277,708
"CALLNIP",0.9856,0.0609546463317562,0.0622678874180309,0.0606920717172129,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLNIP-full-run-only-NFJ-V2.html",7602,707
"CALLPOL",0.9756,0.111550698751365,0.112538166735821,0.111100611417064,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLPOL-full-run-only-NFJ-V2.html",4880,702
"CALLSHE",0.9203,0.000355358396306139,0.00107735638418749,0.00077979207993204,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLSHE-full-run-only-NFJ-V2.html",1366,697
