Fit on: 2023-02-25 00:43:44

Parameters:
==================
form.use:
  count ~ te(lat, lon, by = year, k = c(5, 5), bs = c("cr", "cr")) + effort.universal + s(site.refac, bs = "re")

use.inferred:
  TRUE

geography.constrain:
  FALSE

use.only.source:
  NFJ



Correlation summaries:
==================
code	abund.correlation
ACHLYC	0.9297
ADEBRE	0.9494
AGRAVAN	0.9652
AGRGLA	0.9411
AMBHEG	0.8451
AMBVIA	0.8996
ANAAND	0.8838
ANATLOG	0.9388
ANCNUM	0.6161
ANTHLAN	0.9887
ANTHMID	0.4389
ANTHSAR	0.9586
APOMOR	0.9263
ASTCEL	0.8302
ASTCLY	0.9862
ATACAM	0.7947
ATLHAL	0.6931
ATRARO	0.9332
ATRYHIA	0.9581
AUTCEL	0.9817
BATPHI	0.8917
BOLOBEL	0.8193
BOLOCHA	NA
BOLOEPI	0.9676
BOLOSEL	0.9106
BREEXI	0.7301
BREISO	0.9845
CALBOR	0.4229
CALLAUG	0.4097
CALLDUM	0.9829
CALLERY	0.9285
CALLGRY	0.983
CALLHEN	0.67490000000000006
CALLIRU	0.9275
CALLMOS	0.9903
CALLNIP	0.9856
CALLPOL	0.9756
CALLSHE	0.9203
CALLSPI	0.7125
CALNEM	0.9587
CALYCEC	0.8722
CARTPAL	0.9807
CELLAD	0.8305
CELNEG	0.7228
CEROET	0.9629
CERPEG	0.9281
CERSTH	0.3653
CHLOGOR	0.9535
CHLOHAR	0.5953
CHLOHOF	0.9957
CHLOLAC	0.9153
CHLOLEA	0.9996
CHLONYC	0.9261
CHLOPAL	0.9897
COETUL	0.8988
COLALE	0.9183
COLCES	0.92490000000000006
COLEU1	0.9981
COLEU2	0.845
COLINT	0.9698
COLOCC	0.9734
COLPHI	0.9352
COPAUR	0.9552
CYLGEM	0.8871
DANGIL	0.8993
DANPLE	0.8209
DYMDYM	0.6097
ENOANT	0.8947
ENOCRE	0.9071
ENOPOR	0.3016
EPACLA	0.8901
EREEPI	0.904
ERYBAP	0.8532
ERYBRI	0.8582
ERYFUN	0.4752
ERYHOR	0.9079
ERYICE	0.8562
ERYJUV	0.8564
ERYMAR	0.8014
ERYPAC	0.9426
ERYPER	0.8885
ERYPRO	0.9585
ERYTRI	0.8985
ERYZAR	0.9139
EUCAUS	0.9343
EUCHYA	0.6655
EUCOLY	0.9973
EUPBAT	0.9681
EUPENO	0.8916
EUPHCHA	0.9184
EUPHEDI	0.4392
EUPHPHA	0.9365
EUPTCLA	0.534
EUPYBIM	0.9991
EUPYCON	0.949
EUPYDIO	0.4831
EUPYDUK	0.8493
EUPYVES	0.8553
EURLIS	0.931
