code,number of unique years,number of unique sites,number of unique observations
ACHCAS,39,10,106
ACHLTHR,32,25,115
ACHLYC,45,305,1588
ADEBRE,49,115,2676
AGRAVAN,45,331,3397
AGRGLA,49,60,570
AMBAEN,45,22,182
AMBAES,31,96,455
AMBBEL,29,37,122
AMBCAS,42,9,103
AMBCEL,28,42,184
AMBEOS,38,19,124
AMBEXO,40,7,109
AMBHEG,34,117,301
AMBNYS,41,42,226
AMBVIA,47,246,1001
ANAAND,38,217,1031
ANARJAT,42,80,869
ANATLOG,44,929,5851
ANCNUM,45,1368,17341
ANTHLAN,46,25,249
ANTHMID,25,60,311
ANTHSAR,49,140,1556
APOMOR,50,59,1214
APOPAL,39,13,118
ASBCAP,29,43,398
ASCMON,40,108,798
ASTCEL,45,771,7742
ASTCLY,45,538,3353
ASTLEI,41,29,228
ATACAM,50,598,6250
ATLHAL,47,167,953
ATRARO,44,40,173
ATRYHIA,34,146,585
AUTCEL,42,33,196
BATPHI,49,663,7254
BATPOL,32,52,411
BFLY,38,691,9652
BOLOBEL,45,585,4715
BOLOCHA,13,14,438
BOLOEPI,48,46,811
BOLOSEL,43,341,1980
BREEXI,50,127,2109
BREISO,31,58,781
CALBOR,35,29,167
CALLAUG,49,139,1306
CALLDUM,47,69,436
CALLERY,48,75,730
CALLGRY,49,348,2367
CALLHEN,27,58,193
CALLIRU,32,49,378
CALLMOS,44,13,161
CALLNIP,31,135,338
CALLPOL,26,30,160
CALLSHE,47,41,390
CALLSPI,44,59,280
CALNEM,40,39,325
CALPER,30,23,100
CALPETH,32,110,445
CALVIR,32,48,341
CALYCEC,40,381,2614
CALYISO,33,68,290
CARTPAL,39,84,296
CELLAD,50,1883,36188
CELNEG,28,34,106
CELONES,39,20,145
CEROET,45,165,1264
CERPEG,45,1582,21349
CERSTH,49,91,963
CHICAT,35,47,248
CHLOGOR,45,134,618
CHLOHAR,39,104,427
CHLOHOF,49,25,384
CHLOLAC,42,59,411
CHLOLEA,38,24,134
CHLONYC,45,592,4501
CHLOPAL,49,119,1427
CHLOTHE,41,29,172
CODARI,40,7,104
COETUL,49,767,6999
COGHIP,42,12,170
COLALE,45,119,621
COLCES,46,282,1311
COLEU1,46,39,382
COLEU2,51,1682,29019
COLINT,41,68,433
COLOCC,39,33,146
COLPHI,46,1637,24073
COPAUR,44,91,492
COPMIN,39,183,1351
CYLGEM,37,208,1498
CYMTRI,28,32,207
DANERE,33,36,246
DANGIL,45,241,1809
DANPLE,51,2222,45734
DRYAJUL,35,36,346
DYMDYM,41,21,193
ELEANG,30,23,142
EMEZEL,42,7,113
ENOANT,42,844,8491
ENOCRE,34,68,297
ENOPOR,42,126,612
EPACLA,46,1765,27415
EREEPI,45,78,461
EREVID,11,5,162
ERYBAP,42,776,7742
ERYBRI,33,116,532
ERYFUN,45,219,1223
ERYHOR,45,687,5406
ERYICE,46,286,1254
ERYJUV,41,470,2440
ERYMAR,39,56,163
ERYPAC,47,61,424
ERYPER,48,116,994
ERYPRO,48,68,1461
ERYTRI,50,81,2169
ERYZAR,38,141,878
EUCAUS,49,102,1190
EUCHYA,49,38,670
EUCOLY,34,18,150
EUMATA,28,8,169
EUPBAT,49,84,1125
EUPENO,49,111,1053
EUPHCHA,49,144,1599
EUPHEDI,42,84,765
EUPHPHA,45,389,2923
EUPTCLA,46,938,5575
EUPYARP,29,25,134
EUPYBIM,40,55,229
EUPYCON,44,333,2282
EUPYDIO,38,264,1792
EUPYDUK,27,30,144
EUPYPIL,25,30,140
EUPYVES,45,1190,8788
EURDAI,34,89,863
EURLIS,45,721,5131
EURMEX,44,65,343
EURNIC,46,459,3507
EURPRO,36,16,119
EURYMAR,45,351,3136
EVEAMY,49,119,897
EVECOM,49,1723,32534
FENTAR,40,331,1100
GLALYG,48,329,2821
GLAPIA,45,78,332
HABGRU,49,29,683
HELCHA,41,101,974
HELIERI,46,77,650
HEMCER,42,187,1451
HEMISO,46,236,1322
HERSOS,43,292,2719
HESCOM,49,137,1365
HESJUB,49,85,1131
HESLEO,33,124,449
HESLIN,41,17,127
HESMET,28,52,150
HESNEV,43,24,147
HESOTT,34,31,100
HESPAH,44,32,193
HESSAS,35,185,425
HESVIR,43,31,104
HYLPHY,50,831,9460
JUNCOE,50,1465,19347
JUNEVA,31,26,181
JUNGEN,40,37,162
KRILYS,40,55,335
LEPCAS,34,71,672
LEPMAR,48,166,1136
LERACC,41,329,2255
LEROEUF,50,242,2362
LIBCAR,46,680,4077
LIMARC,45,1564,19003
LIMART,43,523,1709
LIMLOR,49,138,3046
LIMWEI,45,129,773
LYCAARO,49,57,760
LYCACUP,49,41,567
LYCADIO,35,76,325
LYCADOR,37,31,149
LYCAEDI,49,49,971
LYCAEPI,38,87,484
LYCAGOR,46,34,338
LYCAHEL,50,189,2816
LYCAHET,49,98,731
LYCAHYL,43,405,2168
LYCAMAR,48,41,551
LYCANIV,49,46,676
LYCAPHL,45,851,6987
LYCARUB,49,80,404
LYCAXAN,50,58,653
LYCIDA,49,57,811
LYCMEL,47,211,1458
MARPET,39,29,302
MEGICYM,45,1409,19369
MEGIRUB,43,24,192
MESAMY,33,34,132
MINILED,44,21,160
NASJUL,29,44,112
NASLHE,41,252,1311
NATIOL,46,480,2997
NEONARE,36,44,254
NEONMIT,13,8,1038
NEOPMEN,49,74,488
NONE,22,104,839
NYMANT,51,1449,13569
NYMCAL,49,106,2097
NYMMIL,49,403,1645
NYMVAU,43,155,484
OARGAR,45,49,260
OCHAGR,47,46,753
OCHSYL,50,182,3296
OCHYUM,50,12,244
OENCHR,45,53,376
OENNEV,32,24,112
OLIMAC,33,90,447
PANOCO,35,257,1364
PANPA1,34,46,355
PANPA2,33,31,106
PAPCAN,30,150,732
PAPCRE,45,742,5415
PAPEUR,50,190,2211
PAPGLA,45,1825,28807
PAPIND,47,44,236
PAPMUL,46,223,1670
PAPPAL,42,160,1467
PAPPOL,45,1831,24345
PAPRUT,49,303,5223
PAPTRO,45,1151,14223
PAPZEL,50,179,3247
PARNCLO,49,58,1177
PARNPHO,45,90,553
PARRMAL,35,245,582
PHOEAGA,39,105,624
PHOEPHI,34,69,480
PHOESEN,46,841,6386
PHOESTA,27,20,198
PHOLCAT,50,886,6037
PHOPIG,32,19,169
PHYBAT,32,30,109
PHYCAM,49,226,2494
PHYMYL,51,135,4710
PHYORS,43,10,117
PHYPAL,44,43,224
PHYPHA,39,209,1734
PHYPIC,41,25,131
PHYSEL,41,233,1694
PHYTEX,41,86,416
PHYTHA,45,2055,44975
PHYVES,34,38,182
PIENAP,48,186,1687
PIERAP,51,2293,69787
PIEVIR,24,28,119
PIRPIR,45,34,189
PLEACM,50,183,5835
PLEICA,49,237,4959
PLELUP,49,69,736
PLESAE,49,128,1282
PLESHA,47,25,270
POAAAR,31,33,184
POAHOB,45,675,4555
POAMAS,45,256,1603
POAMEL,48,48,1113
POATAX,45,89,683
POAVIA,45,344,1993
POAYEH,30,54,178
POAZAB,43,546,5681
POLGLEO,35,19,135
POLIBAR,33,23,108
POLIDRA,40,32,131
POLIMAR,8,7,165
POLIMYS,45,519,2701
POLIORI,45,606,3169
POLIPEC,45,1175,12654
POLISAB,50,59,2457
POLISON,49,48,866
POLITHE,45,1021,7095
POLIVIB,38,218,1576
POLYCOM,45,1147,11212
POLYFAU,44,77,284
POLYGRA,46,146,800
POLYINT,46,1425,13685
POLYPRO,37,222,931
POLYSAT,47,130,857
POMVER,45,820,6253
PONBEC,46,107,1003
PONOCC,49,209,2035
PONPRO,50,666,5167
PONSIS,49,71,481
PROBYS,36,81,380
PYRALB,42,57,656
PYRCOM,50,758,9506
PYROIL,37,163,1410
PYRPHI,40,42,215
PYRRARA,39,7,103
PYRRUR,49,37,426
PYRSCR,50,26,1158
SATACA,45,243,1388
SATAUR,47,27,270
SATBEH,46,48,441
SATCA1,45,772,4906
SATCA2,49,83,942
SATCA3,43,208,733
SATEDW,44,214,1312
SATFAV,36,130,283
SATFUL,48,33,302
SATLIP,45,488,1968
SATSAE,49,77,982
SATSYL,49,78,1129
SATTET,43,28,347
SATTIT,45,601,3668
SATYAPP,45,538,4446
SATYEUR,45,604,6045
SPEYAPH,45,483,2992
SPEYATL,49,253,2317
SPEYCAL,47,128,913
SPEYCOR,50,93,817
SPEYCYB,47,1562,24768
SPEYDIA,32,42,256
SPEYEDW,45,70,373
SPEYEGL,49,51,649
SPEYHYD,47,65,900
SPEYIDA,41,109,839
SPEYMOR,49,91,1182
SPEYZER,49,89,1808
STAPCEO,43,14,188
STAPHAY,41,147,508
STRIST,36,65,324
STRMEL,50,1196,11527
SYSZAM,39,18,144
TBD,23,19,614
TEXELA,42,29,238
THOBAT,44,457,2456
THOCON,33,102,352
THODRU,36,9,104
THOMEX,49,30,419
THOPYL,46,720,3790
THYLIN,45,908,7750
URBDO1,39,77,576
URBPR3,37,194,1149
VANANN,50,125,3862
VANATA,49,1971,25253
VANCAR,51,1692,14379
VANVIR,50,1608,12938
WALEGE,45,890,6313
WALOTH,38,220,1241
NA,50,406,5010
